t,delta,m_tol,p_geo,p_neu,p_both,rho,stderr_p_geo,stderr_p_neu,stderr_p_both,stderr_rho,accept_spin,accept_theta,mean_abs_phi,mean_m
0.2,0.553125,0.053296875,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.4371044921875,0.890595703125,1.0256072165625874,0.326953125
0.35,0.9679687499999999,0.09326953125,0.0,0.00125,0.0,nan,0.0,0.0011858541225631422,0.0,nan,0.4329638671875,0.890869140625,1.046798314879324,0.32869140625
0.5,1.3828125,0.1332421875,0.0,0.00875,0.0,nan,0.0,0.0025310570914145736,0.0,nan,0.4301025390625,0.891328125,1.052084791201065,0.341181640625
0.7,1.9359374999999999,0.1865390625,0.0,0.035,0.0,nan,0.0,0.007026734661277598,0.0,nan,0.432529296875,0.89078857421875,1.045007178852885,0.332958984375
0.85,2.35078125,0.22651171874999998,0.0,0.10125000000000002,0.0,nan,0.0,0.01204808076002149,0.0,nan,0.4325341796875,0.890693359375,1.0409700852594095,0.330869140625
1.0,2.765625,0.266484375,0.13,0.21374999999999997,0.034999999999999996,1.28639198144238,0.012272937708633577,0.013630159573533978,0.004257346591481599,0.11474025212148563,0.432734375,0.8909423828125,1.0447532806120416,0.330751953125
