epsilon_target,kappa,delta,m_tol,p_geo,p_neu,p_both,rho,stderr_p_geo,stderr_p_neu,stderr_p_both,stderr_rho,J,T,g,mu,gamma,sigma,mean_abs_phi,mean_m,accept_spin,accept_theta
0.1,20,0.5584815274143633,0.43875,0.0004166666666666667,0.02875,0.0004166666666666667,34.78260869565217,0.0004096633667709063,0.01307231489318807,0.0004096633667709063,nan,0.6,1.6,0.5,1.0,0.5,1.0,0.2593315653235172,0.6359302662037037,0.17646339699074073,0.5152803096064815
0.15,20,0.5649892570770306,0.45884765625,0.14583333333333334,0.21958333333333335,0.040833333333333326,1.2126732601784973,0.010463782334354091,0.04244556699359083,0.009240861351547188,0.1378297045515735,0.6,1.6,0.5,1.0,0.5,1.0,0.23947024928521574,0.5523900462962962,0.18671296296296297,0.5117165798611111
0.2,20,0.5868788932150937,0.47990234374999996,0.47000000000000003,0.34750000000000003,0.20375,1.2307864116659388,0.015905537121113235,0.05646225386141711,0.03471686069716942,0.07523094558559282,0.6,1.6,0.5,1.0,0.5,1.0,0.23815946099277938,0.5165914351851851,0.19079933449074074,0.5108582899305556
0.3,20,0.5774131046148502,0.43779296874999996,0.29999999999999993,0.16083333333333333,0.07041666666666666,1.2398440727847635,0.01810463415200036,0.0396106630799035,0.021192596759420666,0.1291425896412341,0.6,1.6,0.5,1.0,0.5,1.0,0.23919051758957227,0.5689771412037037,0.18454427083333333,0.5120869502314814
0.4,20,0.5845124460650328,0.6234570312500001,0.3375,0.7545833333333334,0.27041666666666664,1.0213871680057707,0.016904552312583997,0.03987168365403457,0.023232545220173526,0.02836612732400252,0.6,1.6,0.5,1.0,0.5,1.0,0.24061940137967108,0.532371238425926,0.1899486400462963,0.5116554542824074
